VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-1,CLUST-9,SITE_481,Hastings North West,SITE_481_CELL-C,-39.627535,176.824806,330,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_472,Hamilton South East,SITE_472_CELL-A,-37.811718,175.328909,95,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_481,Hastings North West,SITE_481_CELL-C,-39.627535,176.824806,330,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_481,Hastings North West,SITE_481_CELL-C,-39.627535,176.824806,330,TDD,L2300 - R,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_472,Hamilton South East,SITE_472_CELL-B,-37.811718,175.328909,215,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_472,Hamilton South East,SITE_472_CELL-C,-37.811718,175.328909,335,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_472,Hamilton South East,SITE_472_CELL-B,-37.811718,175.328909,215,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_472,Hamilton South East,SITE_472_CELL-C,-37.811718,175.328909,335,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_477,Lawson Park,SITE_477_CELL-C,-36.917476,174.675074,330,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-A,-36.917476,174.675074,90,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-B,-36.917476,174.675074,210,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_482,Hatepe,SITE_482_CELL-C,-38.855198,176.013903,75,FDD,OneNZ - L1800,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_482,Hatepe,SITE_482_CELL-D,-38.855198,176.013903,195,FDD,OneNZ - L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-C,-36.917476,174.675074,330,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-A,-36.917476,174.675074,90,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-A,-36.917476,174.675074,90,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-B,-36.917476,174.675074,210,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-C,-36.917476,174.675074,330,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-B,-36.917476,174.675074,210,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_473,Lawson Park,SITE_473_CELL-C,-36.917476,174.675074,330,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-A,-36.916861,174.812573,90,TDD,L2300 - S,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-A,-36.916861,174.812573,236,TDD,L2300 - S,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-A,-36.916861,174.812573,90,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-A,-36.916861,174.812573,90,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-4,CLUST-43,SITE_485,Haumoana,SITE_485_CELL-A,-39.647621,176.952499,90,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-A,-36.916861,174.812573,90,TDD,L2300 - R,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-A,-45.677307,170.581444,110,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-B,-45.677307,170.581444,230,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-43,SITE_485,Haumoana,SITE_485_CELL-B,-39.647621,176.952499,210,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-A,-45.677307,170.581444,110,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-B,-45.677307,170.581444,230,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-43,SITE_485,Haumoana,SITE_485_CELL-C,-39.647621,176.952499,355,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-C,-45.677307,170.581444,350,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-22,SITE_486,Hammond Hill,SITE_486_CELL-C,-45.677307,170.581444,350,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-A,-37.352326,175.066682,95,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-B,-36.916861,174.812573,290,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-A,-37.352326,175.066682,95,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-B,-37.352326,175.066682,230,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-C,-37.352326,175.066682,330,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_483,Mt Smart Stadium,SITE_483_CELL-B,-36.916861,174.812573,290,TDD,L2300 - R,ACTIVE,NO,NO
VEND-1,CLUST-7,SITE_487,Hampton Downs,SITE_487_CELL-B,-37.352326,175.066682,230,FDD,L1800,ACTIVE,NO,NO
