VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-1,CLUST-2,SITE_26,Puni,APUNA3_J,-37.218405,174.867559,270,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_26,Puni,APUNA1_L,-37.218405,174.867559,40,FDD,L1800,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ3_M,-37.613471,175.941261,350,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_26,Puni,APUNA1_N,-37.218405,174.867559,40,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_26,Puni,APUNA2_L,-37.218405,174.867559,160,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_26,Puni,APUNA3_L,-37.218405,174.867559,270,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF1_M,-37.210019,174.889612,30,FDD,L2100,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ1_N,-37.613471,175.941261,110,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ1_Q,-41.27406,174.785694,333,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ1_R,-41.27406,174.785694,333,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ2_N,-37.613471,175.941261,230,FDD,L2600,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ3_N,-37.613471,175.941261,350,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ3_Q,-41.27406,174.785694,347,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ3_R,-41.27406,174.785694,347,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ1_J,-37.613471,175.941261,110,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ4_Q,-41.27406,174.785694,0,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ4_R,-41.27406,174.785694,0,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ2_J,-37.613471,175.941261,230,FDD,L700,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ3_J,-37.613471,175.941261,350,FDD,L700,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ6_Q,-41.27406,174.785694,14,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ6_R,-41.27406,174.785694,14,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ1_L,-37.613471,175.941261,110,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ7_Q,-41.27406,174.785694,27,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ7_R,-41.27406,174.785694,27,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ2_L,-37.613471,175.941261,230,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ9_Q,-41.27406,174.785694,41,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_33,Aotea Quay Relocation,WAQRJ9_R,-41.27406,174.785694,41,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_31,Aongatete,MAONJ3_L,-37.613471,175.941261,350,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU1_M,-41.27406,174.785694,333,FDD,L2100,ACTIVE,NO,NO
RCG,Waikato,SITE_35,Aotea,RWKAOT111,-38.011091,174.818845,90,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU3_M,-41.27406,174.785694,347,FDD,L2100,ACTIVE,NO,NO
RCG,Waikato,SITE_35,Aotea,RWKAOT112,-38.011091,174.818845,330,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU1_N,-41.27406,174.785694,333,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU4_M,-41.27406,174.785694,0,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU3_N,-41.27406,174.785694,347,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU4_N,-41.27406,174.785694,0,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU6_M,-41.27406,174.785694,14,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU6_N,-41.27406,174.785694,14,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU7_N,-41.27406,174.785694,27,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU7_M,-41.27406,174.785694,27,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU9_N,-41.27406,174.785694,41,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU9_M,-41.27406,174.785694,41,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_N,-41.27406,174.785694,127,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_N,-41.27406,174.785694,247,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_M,-41.27406,174.785694,127,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ3_N,-41.27406,174.785694,190,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_Q,-41.27406,174.785694,127,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_R,-41.27406,174.785694,127,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ4_N,-41.27406,174.785694,265,FDD,L2600,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU1_L,-41.27406,174.785694,333,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ1_L,-41.27406,174.785694,127,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_M,-41.27406,174.785694,247,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_L,-41.27406,174.785694,247,FDD,L1800,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_36,Aotea Quay Relocation,WSDMJ2_Q,-41.27406,174.785694,247,TDD,L2300 - Q,ACTIVE,NO,NO
