VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF1_L,-37.210019,174.889612,30,FDD,L1800,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ1_L,-38.541644,175.000616,90,FDD,L1800,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ1_J,-38.541644,175.000616,90,FDD,L700,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ2_J,-38.541644,175.000616,210,FDD,L700,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ3_J,-38.541644,175.000616,330,FDD,L700,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ2_L,-38.541644,175.000616,210,FDD,L1800,ACTIVE,NO,NO
NOKIA,Waikato,SITE_47,Aria,MRIAJ3_L,-38.541644,175.000616,330,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF2_L,-37.210019,174.889612,150,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF3_L,-37.210019,174.889612,270,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_48,Glenbrook,AGBKF1_M,-37.203568,174.736319,90,FDD,L2100,ACTIVE,NO,NO
CLUST-1,West Coast and North Otago 2,SITE_49,Arthurs Pass,SARTA0_J,-42.943851,171.563801,0,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_48,Glenbrook,AGBKF2_M,-37.203568,174.736319,210,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_48,Glenbrook,AGBKF3_M,-37.203568,174.736319,330,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_48,Glenbrook,AGBKF1_J,-37.203568,174.736319,90,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_48,Glenbrook,AGBKF2_J,-37.203568,174.736319,210,FDD,L700,ACTIVE,NO,NO
