VENDOR,CLUSTER_AREA,ENODEBID,ECI,SITE_NAME,LATITUDE,LONGITUDE,AZIMUTH,HEIGHT,ANTENNA,LOCAL_CELLID,PCI,RSI,M_TILT,CELLNAME,ULEARFCN,DLEARFCN,UL BW,20MHz,TECH,CELLRADIUS,PMAX,RSPOWER (dBm),TXRX_MODE,TAC,CARRIER,ACTSTATUS,BLKSTATUS
CLUST-1,Northland,1571,402299,NMTPA,-35.567848,174.492306,180,25,1800_Kathrein_80010866_E025,123,34,28,0,NMTPA2_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,2T2R,18161,L1800,ACTIVE,UNBLOCKED
CLUST-1,Northland,1571,402309,NMTPA,-35.567848,174.492306,315,25,1800_Kathrein_80010866_E04,133,35,15,0,NMTPA3_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,2T2R,18161,L1800,ACTIVE,UNBLOCKED
NOKIA,Coromandel,300613,76957041,MMTIL,-36.753019,175.654749,10,15,1800_Kathrein_80010799_E025,113,252,292,0,MMTIJ1_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,48131,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-4,1192,305290,AMSCA,-36.876356,174.825909,340,11.3,2300_CLUST-1_AQU4518R17_E04,138,11,432,0,AMSCA3_R,39052,39052,20MHz,20MHz,TDD,10000,43,15.2,4T4R,18141,L2300 - R,ACTIVE,UNBLOCKED
VEND-1,CLUST-4,1192,305263,AMSCA,-36.876356,174.825909,110,11.3,0700_CLUST-1_AQU4518R17_E06,111,9,464,0,AMSCA1_J,27310,9310,20MHz,20MHz,FDD,10000,45.7,17.9,2T2R,18141,L700,ACTIVE,UNBLOCKED
NOKIA,Coromandel,300613,76957039,MMTIL,-36.753019,175.654749,15,15,0700_Kathrein_80010865_E04,111,252,131,0,MMTIJ1_J,27310,9310,20MHz,20MHz,FDD,38800,46,18.2,2T2R,48131,L700,ACTIVE,UNBLOCKED
NOKIA,Coromandel,300613,76957043,MMTIL,-36.753019,175.654749,15,15,2600_Kathrein_80010799_E025,115,252,38,0,MMTIJ1_N,21200,3200,20MHz,20MHz,FDD,38800,46,18.2,4T4R,48131,L2600,ACTIVE,UNBLOCKED
CLUST-1,Coromandel,2733,699761,MMBHA,-36.733389,175.675031,50,15,1800_Kathrein_80010865_E03,113,69,29,0,MMBHA1_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,4T4R,48131,L1800,ACTIVE,UNBLOCKED
NOKIA,Palmerston North,301305,77134194,CMILL,-40.331321,175.621127,60,20,2100_Huawei_APE4516R1v06_E02,114,15,164,0,CMILJ1_M,18275,275,15MHz,15MHz,FDD,15920,46,19.5,4T4R,38131,L2100,INACTIVE,BLOCKED
CLUST-1,Coromandel,2733,699759,MMBHA,-36.733389,175.675031,50,15,0700_Kathrein_80010864_E06,111,69,35,0,MMBHA1_J,27310,9310,20MHz,20MHz,FDD,10000,46,17.9,2T2R,48131,L700,ACTIVE,UNBLOCKED
NOKIA,Palmerston North,301305,77134197,CMILL,-40.331321,175.621127,60,20,2300_Huawei_APE4516R1v06_E02,117,15,282,0,CMILJ1_Q,39250,39250,20MHz,20MHz,TDD,15920,43,15.2,4T4R,38131,L2300 - Q,INACTIVE,BLOCKED
NOKIA,Palmerston North,301305,77134198,CMILL,-40.331321,175.621127,60,20,2300_Huawei_APE4516R1v06_E02,118,15,282,0,CMILJ1_R,39052,39052,20MHz,20MHz,TDD,15920,43,15.2,4T4R,38131,L2300 - R,INACTIVE,BLOCKED
CLUST-1,Coromandel,2733,699769,MMBHA,-36.733389,175.675031,190,15,0700_Kathrein_80010864_E06,121,70,289,0,MMBHA2_J,27310,9310,20MHz,20MHz,FDD,10000,46,17.9,2T2R,48131,L700,ACTIVE,UNBLOCKED
CLUST-1,Coromandel,2733,699779,MMBHA,-36.733389,175.675031,300,15,0700_Kathrein_80010864_E06,131,71,297,0,MMBHA3_J,27310,9310,20MHz,20MHz,FDD,15000,46,17.9,2T2R,48131,L700,ACTIVE,UNBLOCKED
NOKIA,Palmerston North,301305,77134204,CMILL,-40.331321,175.621127,150,20,2100_Huawei_APE4516R1v06_E03,124,16,361,0,CMILJ2_M,18275,275,15MHz,15MHz,FDD,15920,46,19.5,4T4R,38131,L2100,INACTIVE,BLOCKED
CLUST-1,Coromandel,2733,699763,MMBHA,-36.733389,175.675031,50,15,2600_CLUST-1_APE4516R1v06_E04,115,69,94,0,MMBHA1_N,21200,3200,20MHz,20MHz,FDD,10000,46,18.2,4T4R,48131,L2600,ACTIVE,UNBLOCKED
