VENDOR,CLUSTER_AREA,ENODEBID,ECI,SITE_NAME,LATITUDE,LONGITUDE,AZIMUTH,HEIGHT,ANTENNA,LOCAL_CELLID,PCI,RSI,M_TILT,CELLNAME,ULEARFCN,DLEARFCN,UL BW,20MHz,TECH,CELLRADIUS,PMAX,RSPOWER (dBm),TXRX_MODE,TAC,CARRIER,ACTSTATUS,BLKSTATUS
NOKIA,Wairarapa 2,300595,76952451,CMBTJ,-41.217475,175.457622,340,19,0700_Huawei_ASI4518R84v06_E07,131,173,322,0,CMBTJ3_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952433,CMBTJ,-41.217475,175.457622,100,19,1800_Huawei_ASI4518R84v06_E03,113,171,693,0,CMBTJ1_L,19600,1600,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Otago 2,301533,77192582,SMEAL,-44.703709,169.127913,280,10,2100_Kathrein_80010865_E03,134,389,780,0,SMEAJ3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.5,4T4R,28171,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952435,CMBTJ,-41.217475,175.457622,100,19,2600_Huawei_ASI4518R84v06_E03,115,171,693,0,CMBTJ1_N,21200,3200,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L2600,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952445,CMBTJ,-41.217475,175.457622,220,19,2600_Huawei_ASI4518R84v06_E03,125,172,520,0,CMBTJ2_N,21200,3200,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L2600,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952455,CMBTJ,-41.217475,175.457622,340,19,2600_Huawei_ASI4518R84v06_E06,135,173,416,0,CMBTJ3_N,21200,3200,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L2600,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952443,CMBTJ,-41.217475,175.457622,220,19,1800_Huawei_ASI4518R84v06_E03,123,172,520,0,CMBTJ2_L,19600,1600,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952453,CMBTJ,-41.217475,175.457622,340,19,1800_Huawei_ASI4518R84v06_E06,133,173,416,0,CMBTJ3_L,19600,1600,20MHz,20MHz,FDD,38800,47.79999924,20,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Manawatu 2,301299,77132655,CMARL,-40.067833,175.380111,10,18.8,0700_Kathrein_80010866_E03,111,255,291,0,CMARJ1_J,27310,9310,20MHz,20MHz,FDD,15920,47.79999924,20,2T2R,38131,L700,ACTIVE,UNBLOCKED
NOKIA,Manawatu 2,301299,77132665,CMARL,-40.067833,175.380111,130,18.8,0700_Kathrein_80010866_E03,121,256,661,0,CMARJ2_J,27310,9310,20MHz,20MHz,FDD,15920,47.79999924,20,2T2R,38131,L700,ACTIVE,UNBLOCKED
